Date,Description,Amount
2023-01-05,Grocery Store,-125.50
2023-01-07,Amazon Purchase,-65.99
2023-01-10,Coffee Shop,-4.75
2023-01-12,Salary Deposit,2500.00
2023-01-15,Rent Payment,-1200.00
2023-01-18,Gas Station,-45.75
2023-01-20,Restaurant Dinner,-78.25
2023-01-22,Utility Bill,-95.50
2023-01-25,Movie Theater,-24.00
2023-01-28,Clothing Store,-89.99
2023-02-02,Grocery Store,-132.50
2023-02-05,Uber Ride,-18.75
2023-02-08,Coffee Shop,-5.25
2023-02-10,Salary Deposit,2500.00
2023-02-12,Rent Payment,-1200.00
2023-02-15,Gas Station,-48.50
2023-02-18,Phone Bill,-65.00
2023-02-20,Restaurant Dinner,-92.75
2023-02-22,Online Subscription,-14.99
2023-02-25,Healthcare Co-pay,-35.00
2023-03-01,Grocery Store,-145.75
2023-03-03,Amazon Purchase,-129.99
2023-03-05,Coffee Shop,-4.25
2023-03-10,Salary Deposit,2700.00
2023-03-12,Rent Payment,-1200.00
2023-03-15,Gas Station,-51.25
2023-03-18,Restaurant Dinner,-82.50
2023-03-20,Electricity Bill,-110.25
2023-03-22,Gym Membership,-49.99
2023-03-25,Home Improvement Store,-175.50
2023-03-28,Grocery Store,-115.75